id,sentence,subject,relation,object,evidence,split
215,حسين مزيد عويس هادي الديحاني نائب رئيس المجلس البلدي.,حسين مزيد عويس هادي الديحاني,position_held,نائب رئيس المجلس البلدي,,
216,حسين مزيد الديحاني عضو مجلس الأمة.,حسين مزيد عويس هادي الديحاني,position_held,عضو مجلس الأمة,,
220,اعتمد مشروع مرسوم تعيين الدكتوره شفيقه العوضي مديرا عاما للهييه بدرجه وكيل وزاره.,شفيقه العوضي,position_held,مديرا عاما للهييه بدرجه وكيل وزاره,,
221,تركي محمد فلاح فالح المجليه العازمي سياسي.,تركي محمد فلاح فالح المجليه العازمي,position_held,سياسي,,
222,أشرف الوزير عبدالله الهاجري على تشكيل فرق لمتابعة فواتير القياديين في الدولة.,عبدالله الهاجري,position_held,الوزير,,
224,سالم مثيب الاذينه العازمي وزير كويتي سابق.,سالم مثيب الاذينه العازمي,position_held,وزير كويتي سابق,,
225,شغل سالم مثيب أحمد مثيب الأذينة منصب رئيس الهيئة العامة للاتصالات وتقنية المعلومات بدرجة وزير.,سالم مثيب أحمد مثيب الأذينة,position_held,رئيس الهيئة العامة للاتصالات وتقنية المعلومات بدرجة وزير,,
226,صالح عبد الوهاب حسين الرومي سياسي.,صالح عبد الوهاب حسين الرومي,position_held,سياسي,,
228,فيصل عبدالرحمن مدلج محمد المدلج وزير الدولة لشؤون مجلس الوزراء.,فيصل عبدالرحمن مدلج محمد المدلج,position_held,وزير الدولة لشؤون مجلس الوزراء,,
229,عباس حسين شعبان الخضاري سياسي.,عباس حسين شعبان الخضاري,position_held,سياسي,,
230,نوره العجمي وكيل وزاره التجاره المساعد للاعمال الرقابيه.,نوره العجمي,position_held,وكيل وزاره التجاره المساعد للاعمال الرقابيه,,
233,"في مجلس الامه 2020، اشترك محمد المطير بتقديم استجواب لرئيس مجلس الوزراء.",محمد المطير,position_held,عضو مجلس الأمة,,
237,حمد خليفه الحميده العازمي سياسي.,حمد خليفه الحميده العازمي,position_held,سياسي,,
238,فيصل جاسم عبدالله القضيبي سياسي.,فيصل جاسم عبدالله القضيبي,position_held,سياسي,,
239,أكد العميد ايمن احمد عثمان لسودان تربيون أن ولايات الخرطوم والنيل الأبيض والجزيرة الآن خالية من مليشيات الدعم السريع.,ايمن احمد عثمان,position_held,العميد,,
240,جاسم اسماعيل جمعه نائب في مجلس الأمة الكويتي.,جاسم اسماعيل جمعه,position_held,نائب في مجلس الأمة الكويتي,,
242,راشد سيف الحجيلان سياسي.,راشد سيف الحجيلان,position_held,سياسي,,
243,عبدالعزيز بودستور هو مدير المصنفات الفنية.,عبدالعزيز بودستور,position_held,مدير المصنفات الفنيه,,
245,عسكر عويد عسكر بقان العنزي نائب سابق.,عسكر عويد عسكر بقان العنزي,position_held,نائب سابق,,
246,فارس سعد عيد عبد الله العتيبي سياسي.,فارس سعد عيد عبد الله العتيبي,position_held,سياسي,,
247,عبدالرزاق مشاري العدواني وزير.,عبدالرزاق مشاري العدواني,position_held,وزير,,
248,احمد الطخيم سياسي.,احمد الطخيم,position_held,سياسي,,
249,سلطان سلمان سلطان العجمي سياسي.,سلطان سلمان سلطان العجمي,position_held,سياسي,,
250,تقلد مزعل محمد هادي محمد النمران منصب رئيس قسم الفحص الفني لمحافظة حولي.,مزعل محمد هادي محمد النمران,position_held,رئيس قسم الفحص الفني لمحافظة حولي,,
253,محمد مروي الهديه نائب في مجلس الأمة.,محمد مروي الهديه,position_held,نائب في مجلس الأمة,,
254,سعود نشمي عواد معلج الحريجي سياسي.,سعود نشمي عواد معلج الحريجي,position_held,سياسي,,
255,الشيخ حمد جابر العلي الصباح هو نائب رئيس مجلس الوزراء ووزير الدفاع.,الشيخ حمد جابر العلي الصباح,position_held,نائب رئيس مجلس الوزراء ووزير الدفاع,,
257,مبارك براك سالم حطاب الهيفي من الاسلاميون المستقلون.,مبارك براك سالم حطاب الهيفي,position_held,الاسلاميون المستقلون,,
258,عبدالعزيز الفودري هو امر قاعدة احمد الجابر الجوية العقيد الركن طيار.,عبدالعزيز الفودري,position_held,امر قاعدة احمد الجابر الجوية العقيد الركن طيار,,
260,بخيت شبيب بخيت الرشيدي وزير النفط ووزير الكهرباء والماء.,بخيت شبيب بخيت الرشيدي,position_held,وزير النفط,,
262,النايب عبدالله فالح رجعان راعي الفحماء.,عبدالله فالح رجعان راعي الفحماء,position_held,النايب,,
263,صياح شايع صياح ابو شيبه سياسي.,صياح شايع صياح ابو شيبه,position_held,سياسي,,
264,سعد زنيفر سعد علي العازمي سياسي.,سعد زنيفر سعد علي العازمي,position_held,سياسي,,
266,منال عبود أول سيدة تترشح لمنصب العمودية على مستوى محافظة المنوفية.,منال عبود,position_held,مرشحة لمنصب العمودية,,
267,عبد الرحمن سالم العتيقي وزير المالية.,عبد الرحمن سالم العتيقي,position_held,وزير المالية,,
268,منيزل جاسر فجري العنزي سياسي.,منيزل جاسر فجري العنزي,position_held,سياسي,,
269,ناصر المطيري هو الأمين العام لحوار التعاون الآسيوي.,ناصر المطيري,position_held,الامين العام لحوار التعاون الاسيوي,,
270,راشد سالم العميري وزير النفط في دولة الكويت.,راشد سالم العميري,position_held,وزير النفط في دولة الكويت,,
272,الدكتور جاسم الاستاذ وزير الكهرباء والماء والطاقه المتجدده.,الدكتور جاسم الاستاذ,position_held,وزير الكهرباء والماء والطاقه المتجدده,,
273,سعاد الفضلي عميد كليه العلوم الطبيه المساعده.,سعاد الفضلي,position_held,عميد كليه العلوم الطبيه المساعده,,
274,محمد الحمد عمل ضابطا بالشرطة الكويتية.,محمد الحمد,position_held,ضابط بالشرطة الكويتية,,
277,محمد عوض عبيد محمد سالم الرقيب المطيري سياسي كويتي.,محمد عوض عبيد محمد سالم الرقيب المطيري,position_held,سياسي كويتي,,
281,عُين الشيخ عبدالله علي عبدالله السالم الصباح وزيرا للدفاع.,الشيخ عبدالله علي عبدالله السالم الصباح,position_held,وزيرا للدفاع,,
287,طلال المطيري هو مندوب دولة الكويت الدائم لدى جامعة الدول العربية.,طلال المطيري,position_held,مندوب دولة الكويت الدائم لدى جامعة الدول العربية,,
291,ناصر عبدالعزيز حسن صرخوه عضو مجلس عام 1981 عن دائرة الرميثية.,ناصر عبدالعزيز حسن صرخوه,position_held,عضو مجلس عام 1981 عن دائرة الرميثية,,
295,شغلت غدير محمد محمود غلوم رضا أسيري منصب وزيرة الشؤون الاجتماعية.,غدير محمد محمود غلوم رضا أسيري,position_held,وزيرة الشؤون الاجتماعية,,
296,راشد سلمان محمد الهبيده العازمي عضو مجلس امه سابق.,راشد سلمان محمد الهبيده العازمي,position_held,عضو مجلس امه سابق,,
297,نورية صبيح براك الصبيح وزير التربيه ووزير التعليم العالي.,نوريه صبيح براك الصبيح,position_held,وزير التربيه,,
298,عبدالعزيز عبدالوهاب العدساني نايب.,عبدالعزيز عبدالوهاب العدساني,position_held,نايب,,
299,صدر مرسوم أميري بتعيين صبيح عبدالعزيز عبدالمحسن المخيزيم وزيراً للكهرباء والماء والطاقة المتجددة.,صبيح عبدالعزيز عبدالمحسن المخيزيم,position_held,وزير الكهرباء والماء والطاقه المتجدده,,
306,النايب حسين قويعان محمد الشريف المطيري.,حسين قويعان محمد الشريف المطيري,position_held,النايب,,
307,سعود ارشيد الرشيدي سياسي.,سعود ارشيد الرشيدي,position_held,سياسي,,
309,ضاري عبدالله العثمان هو المستشار بديوان سمو ولي العهد.,ضاري عبدالله العثمان,position_held,المستشار بديوان سمو ولي العهد,,
311,مبارك عبدالله علي صنيدح العجمي رئيس عام لجان الانتخابات العامة لقبيلة العجمان.,مبارك عبدالله علي صنيدح العجمي,position_held,رئيس عام لجان الانتخابات العامة لقبيلة العجمان,,
312,النايب ضيف الله فضيل ضيف الله ابو رميه.,ضيف الله فضيل ضيف الله ابو رميه,position_held,النايب,,
315,مي جاسم محمد البغلي وزير دولة لشؤون المرأة والطفولة.,مي جاسم محمد البغلي,position_held,وزير دولة لشؤون المرأة والطفولة,,
316,مشعان مجبل عواد بطي العازمي نائب سابق في مجلس الأمة الكويتي.,مشعان مجبل عواد بطي العازمي,position_held,نائب سابق في مجلس الأمة الكويتي,,
317,محمد الجويهل نايب سابق في مجلس الامه الكويتي.,محمد الجويهل,position_held,نايب سابق في مجلس الامه الكويتي,,
363,فهيد العجمي عضو المجلس البلدي.,فهيد العجمي,position_held,عضو المجلس البلدي,,
364,عواد برد العنزي سياسي.,عواد برد العنزي,position_held,سياسي,,
365,جاسم احمد سلمان الاستاذ سياسي.,جاسم احمد سلمان الاستاذ,position_held,سياسي,,
367,خالد عايد العنزي نائب سابق في مجلس الأمة الكويتي.,خالد عايد العنزي,position_held,نائب سابق في مجلس الأمة الكويتي,,
368,خالد عايد العنزي هو النايب.,خالد عايد العنزي,position_held,النايب,,
369,وزير النفط مصطفي جاسم الشمالي.,مصطفي جاسم الشمالي,position_held,وزير النفط,,
370,معالي وزير الماليه مصطفى جاسم الشمالي.,مصطفى جاسم الشمالي,position_held,وزير الماليه,,
375,وزير التربيه يحيل الوكيله فاطمه الكندري للتقاعد رسميا.,فاطمه الكندري,position_held,الوكيله,,
377,عين صلاح عبدالرضا عبدالله خورشيد وزيرا لوزارة التجارة والصناعة عام 2001.,صلاح عبدالرضا عبدالله خورشيد,position_held,وزيرا لوزارة التجارة والصناعة,,
378,فالح حمود الصويلح العازمي سياسي.,فالح حمود الصويلح العازمي,position_held,سياسي,,
382,سليمان يوسف صالح الذويخ سياسي.,سليمان يوسف صالح الذويخ,position_held,سياسي,,
383,الفريق الركن سلطان المطيري.,سلطان المطيري,position_held,الفريق الركن,,
384,محمد الشمري وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه.,محمد الشمري,position_held,وزير الدفاع في حكومه جمهوريه الصومال الفيدراليه,,
385,محمد الشمري القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو.,محمد الشمري,position_held,القائم بالأعمال بالإنابة في سفارة دولة قطر بمقديشو,,
395,بدر شبيب الشريعان وزير الكهرباء والماء.,بدر شبيب الشريعان,position_held,وزير الكهرباء والماء,,
396,حامد البذالي سياسي.,حامد البذالي,position_held,سياسي,,
397,فاز احمد سعد الدين في انتخابات مجلس النواب.,احمد سعد الدين,position_held,نائب في مجلس النواب,,
398,نواف الفزيع نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012.,نواف الفزيع,position_held,نائب في مجلس الأمة الكويتي المبطل ديسمبر 2012,,
400,بدر العازمي هو مسؤول الشؤون القنصلية.,بدر العازمي,position_held,مسؤول الشؤون القنصلية,,
401,فيصل سعيد نافل سعد الغريب وزير العدل.,فيصل سعيد نافل سعد الغريب,position_held,وزير العدل,,
403,سالم الحجرف وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان.,سالم فلاح مبارك الحجرف,position_held,وزير الكهرباء والماء والطاقة المتجددة ووزير الدولة لشؤون الإسكان,,
406,الشيخ عبدالله علي عبدالله السالم الصباح هو وزير الدفاع.,الشيخ عبدالله علي عبدالله السالم الصباح,position_held,وزير الدفاع,,
407,حمود يوسف النصف سياسي.,حمود يوسف النصف,position_held,سياسي,,
408,احمد عبدالمحسن تركي المليفي وزير العدل بالكويت سابقا.,احمد عبدالمحسن تركي المليفي,position_held,وزير العدل بالكويت سابقا,,
409,رجا حجيلان شباب المطيري نايب سابق في مجلس الامه الكويتي.,رجا حجيلان شباب المطيري,position_held,نايب سابق في مجلس الامه الكويتي,,
412,مهلهل المضف نائب في مجلس الأمة الكويتي.,مهلهل خالد احمد المضف,position_held,نائب في مجلس الأمة الكويتي,,
413,طاهر الفيلكاوي سياسي.,طاهر الفيلكاوي,position_held,سياسي,,
