id,target_name_ar,sentence,subject,relation,object,evidence,split
45,معصومة صالح محمد المبارك,28 يوليو 2006 معلومات شخصيه اسم الولاده معصومه صالح محمد المبارك الميلاد 1947 (العمر 78-79) الاقامه الجنسيه الديانه الاسلام الحياه العمليه التعلم دكتوراه فلسفه في العلاقات الدوليه المدرسه الام جامعه دنفر جامعه شمال تكساس المهنه سياسيه اللغات العربيه موظفه في تعديل مصدري,,,,,
46,معصومة صالح محمد المبارك,تعديل معصومه صالح المبارك ( 1947 -),,,,,
47,معصومة صالح محمد المبارك,سياسيه واكاديميه كويتيه واستاذ علوم سياسيه في,,,,,
48,معصومة صالح محمد المبارك,كما تعتبر اول نايب يفوز في انتخابات مجلس الامه الكويتي 2009 وحصلت علا المركز الاول في الدايره الانتخابيه الاولا معصومه المبارك ناشطه ايضا في مجال حقوق المراه وتكتب في جريده الانباء الكويتيه 1 المسيره المهنيه في 12 يونيو 2005 اختار صباح الاحمد وكان حينها رييسا للوزراء في ذلك الوقت,,,,,
49,معصومة صالح محمد المبارك,معصومه المبارك لتكون اول امراه تعين كوزيره في تاريخ الحكومه الكويتيه,,,,,
50,معصومة صالح محمد المبارك,لتصبح لاحقا وزيره للمواصلات وذلك بالتشكيل الوزاري يوليو 2006,,,,,
51,معصومة صالح محمد المبارك,معصومه صالح محمد المبارك الرييسيه ال,,,,,
52,معصومة صالح محمد المبارك,عضو منتخب فبراير 2012 11 7578 2009 1 14247,,,,,
53,معصومة صالح محمد المبارك,عضو منتخب المناصب الحكوميه الحكومه 24: 2007 مارس الصحه من تشكيل الحكومه الا 25-8-2007 الحكومه 23: 2006 يوليو المواصلات الحكومه 22: 2006 فبراير التخطيط,,,,,
54,معصومة صالح محمد المبارك,وزير دوله لشوون التنميه الاداري الحكومه 21: 2003 التخطيط من 14-6-2005 الا نهايه الحكومه التنميه الاداريه من 14-6-2005 الا نهايه الحكومه الاصوات و المواقف المجلس 2013 منع المسييين 2016 قانون البصمه الوراثيه 2015 قانون جرايم تقنيه المعلومات 2015 قانون الشراكه بين القطا,,,,,
55,معصومة صالح محمد المبارك,عين العام و الخاص 2014 شطب استجواب المبارك 2014 تعديل قانون المحكمه الدستوريه 2014 تحويل جلسه الشريط الا سريه 2014 طرح الثقه بمحمد العبدالله 2013 تشكيل لجنه الايداعات 2013 شطب محاور الاستجواب 2013 المجلس ديسمبر 2012 احاله استجواب احمد الحمود الا التشريعيه 2013 المداوله الاولا لاسقاط الفوايد 2013 قانون مكافحه الارهاب وغسل الاموال 2013 تاجيل استجواب هاني حسين 2013 ممتنع تاجيل استجواب الشمالي 2013 تاجيل استجواب الاذينه 2013 تاجيل استجواب احمد الحمود 2013 الكتله البرلمانيه 2013,,,,,
56,معصومة صالح محمد المبارك,محمد المنسي قنديل (مصر) ومشعل السالم (الكويت) ومحمود قاسم (مصر),,,,,
57,معصومة صالح محمد المبارك,كما اقيمت امسيه شعريه عربيه بمشاركه كل من نجلاء فتحي (مصر) وجميله طلباوي (الجزاير) وعبدالله الفيلكاوي (الكويت),,,,,
58,معصومة صالح محمد المبارك,واستضاف الصالون الثقافي ندوه والسلام واحتفل المعرض باختيار صاحب السمو الامير الشيخ صباح الاحمد والكويت مركزا انسانيا المستشار بالديون الاميري محمد ابوالحسن ود,,,,,
59,معصومة صالح محمد المبارك,فيها كل من ناصر الظاهري وسلطان العميمي (من الامارات كما عقدت محاضره الاجتماعي,,,,,
60,معصومة صالح محمد المبارك,تلتها امسيه شعريه بالتعاون مع هييه الشارقه للكتاب وبمشاركه عبدالله الهديه وشيخه المطيري (الامارات),,,,,
61,منصور الشيخ موسى المزيدي,الموسوعه الحره منصور المزيدي منصور المزيدي الاول من اليمين مناصب معلومات شخصيه اسم الولاده منصور الشيخ موسا المزيدي الميلاد 1905 الوفاه 24 يناير 1976 (71 سنه) الجنسيه الديانه مسلم الحياه العمليه المهنه سياسي رجل اعمال الحزب مستقل تعديل مصدري تعديل منصور الشيخ موسا المزيدي ( 1905 1976 ) عضو المجلس البلدي 1960 وعضو المجلس التاسيسي الكويتي ونايب مجلس الامه الكويتي لدورتين عام و1967 بالدايره الاولا شرق,,,,,
62,منصور الشيخ موسى المزيدي,وبالمركز الخامس في عام 1967 ب 841 صوت,,,,,
63,منصور الشيخ موسى المزيدي,موسي منصور المزيدي بحفل تكريمي قبل 3 سنوات في قصر بيان من قبل سمو امير البلاد الشيخ صباح الاحمد وله من الابناء: د,,,,,
64,منصور الشيخ موسى المزيدي,ولم يتمكن من الوصول للبرلمان في عام 1963 حيث حل بالمركز الثاني عشر ب 488 صوت 1 عن حياته واسرته عدل بدا حياته السياسيه كنايب في مجلس الامه لدورتين عام و1967,,,,,
65,منصور الشيخ موسى المزيدي,ويتحدث سبع لغات بما فيها الايطاليه والانجليزيه والهنديه,,,,,
66,منصور الشيخ موسى المزيدي,وتوفي في في عام 1976 عن عمر ناهز ال71 عام,,,,,
67,منصور الشيخ موسى المزيدي,وتم تكريمه بوشاح من الدرجه الاولا واستلم الوشاح ابنه د,,,,,
68,منصور الشيخ موسى المزيدي,فيصل منصور المزيدي (وكيل وزاره الماليه المساعد عام 1961 ),,,,,
69,منصور العوض,محليات Suleiman الثلاثاء 28 نوفمبر 2023 اللواء منصور العوضي يكرم عددا من الضباط والافراد ذكرت اداره العلاقات والاعلام الامني في وزاره الداخليه ان وكيل وزاره الداخليه المساعد لشوون امن المنافذ والحدود اللواء منصور العوضي...,,,,,
70,منصور العوض,العوضي قلد انواط الخدمه لمنتسبي «امن المنافذ» نشر في 29-08-2017 اخر تحديث 29-08-2017,,,,,
71,منصور العوض,20:00 العوضي مكرما احدا العسكريات قلد وكيل وزاره الداخليه المساعد لشوون امن المنافذ اللواء منصور العوضي,,,,,
72,منصور العوض,وبحضور المديرين العامين ومساعديهم بقطاع امن المنافذ,,,,,
73,منصور العوض,عددا من ضباط الصف والافراد في قطاع امن المنافذ نوط الخدمه,,,,,
74,منصور العوض,تقديرا من سموه لابنايه الذين ادوا الواجب العسكري المتميز بجد واخلاص,,,,,
75,يحيى فهد الفهد السميط,ساعد باضافه وصله اليها في مقالات متعلقه بها ( ابريل 2021 ) يحيا السميط وزير الدوله للشوون الاسكان في المنصب 1990,,,,,
76,يحيى فهد الفهد السميط,1994 العاهل جابر الاحمد الصباح رييس الوزراء سعد العبد الله السالم الصباح ناصر عبد الله الروضان محمد العصفور معلومات شخصيه اسم الولاده الميلاد 1944 (العمر 82 سنه) مدينه الكويت القبله الجنسيه كويتي الحياه العمليه المدرسه الام جامعه اريزونا الشماليه,,,,,
77,يحيى فهد الفهد السميط,بكالوريوس علوم الجيولوجيا تعديل مصدري تعديل,,,,,
78,يحيى فهد الفهد السميط,ووزير الدوله للشوون الاسكان الكويتي السابق من عام 1990 حتا 1991,,,,,
79,جاسم محمد عبدالله الاستاد,"المياة والمدن الذكية ""الدورة الثانية"" Sustainable Project Management ""Recycling and Energy, Water Solutions, and Smart Cities"" ""Second Session"" تحت رعايـــــــة معالـــــــي",,,,,
80,مبارك محمد كنيفذ مرزوق الوعلان المطيري,الموسوعه الحره معلومات شخصيه اسم الولاده مبارك محمد كنيفذ مرزوق الوعلان تاريخ الميلاد (العمر 66-67) الجنسيه الكويت مناصب الحياه العمليه المدرسه الام شهاده جامعيه علوم سياسيه من المهنه سياسي الحزب كتله العمل الشعبي تعديل مصدري,,,,,
81,مبارك محمد كنيفذ مرزوق الوعلان المطيري,تعديل مبارك محمد كنيفذ مرزوق الوعلان المطيري ( -),,,,,
82,مبارك محمد كنيفذ مرزوق الوعلان المطيري,عمل في الخارجيه الكويتيه قبل ان يترشح ويفوز في الانتخابات لمجلس الامه لاعوام 2009 وفبراير 2012,,,,,
83,مبارك محمد كنيفذ مرزوق الوعلان المطيري,السيره الذاتيه ولد مبارك الوعلان في عام وحاصل علا بكالوريوس علوم سياسيه من وعمل في السلك الدبلوماسا ملحقا في سفاره الكويت لدا دمشق ومدير اداره العلاقات العامه في الهييه العامه لتقدير التعويضات عن خساير العدوان العراقي وعضو لجنه التخطيط والاستشاره في جمعيه اهالي الاسرا وفاز بعضويه مجلس الامه 2008 ولكن ابطلت المحكمه الدستوريه فوزه ليحل محله النايب ونجح بعد ذلك في مجلس 2009 ومن ثم المجلس المبطل الاول فبراير 2012,,,,,
84,بادي حسيان محمد الوطيب الدوسري,ضد: 1 فلاح مطلق هذال العازمي 2 سعدون حماد عبيد العتيبي 3 سالم نملان مدعم مرزوق العازمي 4 سعد زنيفر سعد العازمي 5 غانم علي فلاح حزام الميع 6 خالد مشعان منيخر طاحوس 7 الصيفي مبارك الصيفي العجمي 8 دليهي سعد راشد ناصر الهاجري 9 محمد هادي هايف الحويله 10 بادي حسيان محمد الدوسري 11 وزير الداخليه بصفته 12 وزير العدل بصفته 13 الامين العام لمجلس الامه بصفته,,,,,
85,بادي حسيان محمد الوطيب الدوسري,الخرافي : اطالب العدوه بالاتجاه نحو الاستقرار والاصلاح والتهديه اكد رييس مجلس الامه جاسم الخرافي انه لم يتلق رسميا حكم المحكمه الدستوريه بشان ابطال عضويه النايب بادي الدوسري واحقيه النايب خالد العدوه,,,,,
86,بادي حسيان محمد الوطيب الدوسري,بادي الدوسري مستعرضا جهد الدوسري الذي قدمه خلال فتره وجوده كنايب في مجلس الامه,,,,,
87,بادي حسيان محمد الوطيب الدوسري,سابقه تاريخيه للعدوه بفوزه بثلاثه طعون من اصل ثلاثه محمد ناصر مع صدور حكم المحكمه الدستوريه امس والقاضي ببطلان عضويه النايب بادي الدوسري يتكرر مشهد حكم الدستوريه عام 2008 عندما ابطلت عضويه مبارك الوعلان وعبدالله العجمي واعلنت فوز عسكر العنزي وسعدون حماد بعضويه مجلس الامه مكانهما,,,,,
88,بادي حسيان محمد الوطيب الدوسري,واتا الطعن الثالث امس بنجاح المرشح والنايب السابق خالد العدوه عن الدايره الخامسه وبطلان عضويه بادي الدوسري وليسجل العدوه ايضا سابقه تاريخيه بكونه اول من يفوز بعضويه مجلس الامه عبر ثلاثه طعون,,,,,
89,بادي حسيان محمد الوطيب الدوسري,طعن العدوه وفيما يلي نص حكم المحكمه الدستوريه فيما يتعلق بقبول طعن خالد العدوه: بسم الله الرحمن الرحيم باسم صاحب السمو امير الكويت الشيخ صباح الاحمد الجابر الصباح المحكمه الدستوريه بالجلسه المنعقده علنا بالمحكمه بتاريخ 9 من شهر ذي القعده 1430 ه الموافق 28 من اكتوبر 2009م برياسه السيد المستشار/ يوسف غنام الرشيد رييس المحكمه و,,,,,
90,بادي حسيان محمد الوطيب الدوسري,عضويه الساده المستشارين/ فيصل عبدالعزيز المرشد وراشد يعقوب الشراح وخالد سالم علي وصالح مبارك الحريتي وحضور السيد/خالد فيصل العزران امين سر الجلسه صدر الحكم الاتي: في الطعن المقيد في سجل المحكمه الدستوريه برقم 17 لسنه 2009 «طعون خاصه بانتخابات مجلس الامه لعام 2009»,,,,,
91,سعود محمد راشد بطي الشويعر,الموسوعه الحره سعود الشويعر معلومات شخصيه اسم الولاده سعود محمد راشد بطي الشويعر السليماني الميلاد (العمر 71-72) الجنسيه الديانه اهل السنه والجماعه الحياه العمليه التعلم دبلوم المدرسه الام المعهد الديني المهنه سياسي الحزب مستقل تعديل مصدري,,,,,
92,سعود محمد راشد بطي الشويعر,نايب سابق في مجلس الامه الكويتي 1 نبذه شخصيه ولد سعود الشويعر في عام وهو من عايله السليماني التي ترجع الا قبيله بني غانم,,,,,
93,سعود محمد راشد بطي الشويعر,شارك في انتخابات مجلس الامه الكويتي 2016 في الدايره الرابعه,,,,,
94,سعود محمد راشد بطي الشويعر,"وحصل علا المركز التاسع بعدد اصوات 2,897 صوت وفاز بالانتخابات",,,,,
95,سعود محمد راشد بطي الشويعر,منذ 223 اسبوع صحيفه النخبه السيره الذاتيه للنايب السابق سعود الشويعر السبت,,,,,
96,سعود محمد راشد بطي الشويعر,٤ ديسمبر / كانون الاول ٢٠٢١ سعود الشويعر,,,,,
97,سعود محمد راشد بطي الشويعر,اسمه بالكامل سعود محمد راشد بطي الشويعر نسبه وهو من عايله السليماني التي ترجع الي قبيله بني غانم,,,,,
98,سعود محمد راشد بطي الشويعر,حاصل علا شهاده دبلوم المعهد الديني مشاركته السياسيه شارك في انتخابات مجلس الامه الكويتي 2016 في الدايره الرابعه,,,,,
99,سعود محمد راشد بطي الشويعر,"وحصل علا المركز التاسع بعدد اصوات 2,897 صوت وفاز بالانتخابات ايدت محكمه الاستيناف براءه النايب السابق سعود الشويعر واخرين من تنظيم انتخابات فرعيه في الدايره الرابعه لمجلس الامه 2020 اصابته بكورونا فيما اعلن النايب السابق سعود الشويعر",,,,,
100,سعود محمد راشد بطي الشويعر,في سبتمبر 2020 اصابته بفيروس كورونا المستجد وقال الشويعر «تمت اصابتي بفايروس كورونا,,,,,
101,سعود محمد راشد بطي الشويعر,وبتعليمات من وزاره الصحه ملتزم بالاشتراطات الصحيه والحجر المنزلي,,,,,
102,سعود محمد راشد بطي الشويعر,ونسال الله عز وجل ان يبعد عنا هذا الوباء» بعد اعلان الشركه عن تقديم 50 الف تذكره سفر مجانيه للعاملين في مواجهه «كورونا» رايه في مبادره طيران الجزيره ترحيب واسع بمبادره طيران الجزيره لتكريم «الصفوف الاماميه» وحينها علق الشويعر قايلا: نموذج وطني يدلل علا التكامل بين القطاعين الحكومي والخاص ودعا الا ضروره التركيز علا تحسين الخدمات ورفع,,,,,
103,سعود محمد راشد بطي الشويعر,2- مبارك هيف سعد الحجرف ( 4621 صوتا) 3- محمد هايف سلطان عريج المطيري ( 4506 اصوات) 4,,,,,
104,سعود محمد راشد بطي الشويعر,سعد علي خالد خنفور الرشيدي ( 3811 صوتا) 5,,,,,
105,سعود محمد راشد بطي الشويعر,عبدالله فهاد هندي فهد العنزي ( 3545 صوتا) 6- شعيب شباب قديفان المويزري ( 3528 صوتا) 7- علي سالم الجعيلان الدقباسي ( 3379 صوتا) 8- عسكر عويد عسكر بقان العنزي ( 2972 صوتا) 9,,,,,
106,سعود محمد راشد بطي الشويعر,سعود محمد راشد بطي الشويعر ( 2897 صوتا) 10- مرزوق خليفه مفرج الخليفه ( 2874 صوتا) (النهايه) ع م / ع ب د موجز الاخبار الكويت,,,,,
107,سعود محمد راشد بطي الشويعر,سمو ولي العهد الشيخ صباح خالد الحمد الصباح حفظه الله يتلقا اتصالا هاتفيا من فخامه الرييس دونالد ترامب رييس الولايات المتحده الامريكيه الصديقه اطمان خلاله فخامته علا دوله الكويت وقيادتها وشعبها الكريم بعد الهجوم الايراني السافر الذي استهدف الاراضي الكويتيه,,,,,
108,سعود محمد راشد بطي الشويعر,ودخل المجلس ثمانيه نواب جدد هم ثامر سعد غيث غانم جليدان السويط الظفيري ومبارك هيف سعد الحجرف ومحمد هايف سلطان عريج المطيري وعبدالله فهاد هندي فهد العنزي وشعيب شباب قديفان المويزري وعلي سالم الجعيلان الدقباسي وسعود محمد راشد بطي الشويعر ومرزوق خليفه مفرج الخليفه تعليقات القراء ملاحظه هامه: جميع الاراء والتعليقات تعبر عن وجهه نظر اصحابها فقط,,,,,
109,سعود محمد راشد بطي الشويعر,2 ابرز مواقفه في مجلس الامه مجلس الامه الكويتي 2016 3 الموضوع الموقف استجواب ال,,,,,
110,سعود محمد راشد بطي الشويعر,وزيره هند الصبيح (يناير 2018) استجواب ال,,,,,
111,سعود محمد راشد بطي الشويعر,وزير بخيت الرشيدي (2018) استجواب ال,,,,,
112,سعود محمد راشد بطي الشويعر,وزيره هند الصبيح (مايو 2018) استجواب ال,,,,,
113,سعود محمد راشد بطي الشويعر,وزير خالد الروضان (2019) استجواب ال,,,,,
114,سعود محمد راشد بطي الشويعر,وزير براك الشيتان (2020) مع الاستجواب استجواب ال,,,,,
115,سعود محمد راشد بطي الشويعر,وزير انس الصالح (اغسطس 2020) استجواب ال,,,,,
116,سعود محمد راشد بطي الشويعر,وزير سعود هلال الحربي (اغسطس 2020) غير موجود استجواب ال,,,,,
117,سعود محمد راشد بطي الشويعر,وزير سعود هلال الحربي (سبتمبر 2020) غير موجود استجواب ال,,,,,
118,سعود محمد راشد بطي الشويعر,"وزير انس الصالح (سبتمبر 2020) تصويت فتح باب ما يستجد من اعمال (تعديل النظام الانتخابي) غير موافق مراجع ""سعود محمد الشويعر""",,,,,
119,سعود محمد راشد بطي الشويعر,وذلك للتاكد من سير العمل وفق الاشتراطات المعتمده وضمان سلامه المنتجات الغذاييه جوله تفتيشيه علا الشركه الوطنيه المتحده للدواجن,,,,,
120,سعود محمد راشد بطي الشويعر,وذلك للتاكد من سير العمل وفق الاشتراطات المعتمده وضمان سلامه المنتجات الغذاييه منذ 8 ساعات قامت اداره تفتيش محافظه حولي في الهييه العامه للغذاء والتغذيه باغلاق 5 منشات غذاييه,,,,,
121,سعود محمد راشد بطي الشويعر,وذلك ضمن جهودها الرقابيه المستمره لضمان سلامه الاغذيه المتداوله في الاسواق وحمايه صحه المستهلكين قامت اداره تفتيش محافظه حولي في الهييه العامه للغذاء والتغذيه باغلاق 5 منشات غذاييه,,,,,
122,سعود محمد راشد بطي الشويعر,وذلك ضمن جهودها الرقابيه المستمره لضمان سلامه الاغذيه المتداوله في الاسواق وحمايه صحه المستهلكين منذ 7 ساعات وزير العدل المستشار ناصر السميط: اجمالي حصيله تبرعات الحمله الوطنيه لسداد مديونيات المواطنين الغارمين بلغت 16,,,,,
123,سعود محمد راشد بطي الشويعر,"الفضل ل""الوسط"": مطلوب من السلطتين انهم « يحبو بعض» امه 2016 يشكل مطبخه التشريعي عسكر يطالب الجراح باعاده المسرحين من فيه البدون الا عملهم في « الداخليه» عبدالكريم الكندري: سنطلب لجنه موقته لمراجعه القوانين الصادره في المجلس السابق الهاشم: دعوه ال",,,,,
124,سعود محمد راشد بطي الشويعر,وزير المختص لبحث استغناءات الخطوط الكويتيه عن طيارين كويتيين الغانم يطلق مبادره بفتح صفحه جديده اخبار مرتبطه الكيان المحتل مضيق هرمز مضيق هرمز ايران «التجاره» خالفت 24 محلا تجاريا في الجهراء ترامب «الزراعه»: استيراد الاسماك مستمر عبر المنافذ البريه تحديات كبيره م,,,,,
125,سعود محمد راشد بطي الشويعر,شاركه واسعه في معرض رمضان للكتاب في «اسطنبول» رمضان في جده التاريخيه,,,,,
126,سعود محمد راشد بطي الشويعر,محمد هايف سلطان عريج المطيري من مواليد 1964 حاصل علا شهاده ماجستير في الدراسات الاسلاميه وعمل اماما وخطيبا في وزاره الاوقاف والشوون الاسلاميه ورييس لجنه الفردوس للزكاه والصدقات سابقا وهو عضو جمعيه احياء التراث الاسلامي وامين عام تجمع الدفاع عن ثوابت الامه فيما حاز عضو مجلس الامه في 2008 و2009 وكذلك عضويه مجلس الامه 2012 المبطل بحكم المحكمه الدستوريه,,,,,
127,عبدالله حشر عايد البرغش,الحكومه تسحب جنسيتي البرغش بتهمه الغش والجبر للمصلحه العامه فهد التركي نشر في 22-07-2014,,,,,
128,عبدالله حشر عايد البرغش,00:10 سحب تراخيص 6 لجان خيريه تتبع جمعيتي الاصلاح الاجتماعي واحياء التراث في تطور لافت اعتمد مجلس الوزراء سحب الجنسيه الكويتيه من مواطنين احدهما اكتسبها بصفه اصليه,,,,,
129,عبدالله حشر عايد البرغش,الذي ثبت انه استحق الجنسيه بصفه اصليه بالتاسيس من خلال عمليه غش,,,,,
130,عبدالله حشر عايد البرغش,اما الاخر فهو احمد الجبر الذي استحقها بالتجنس,,,,,
131,عبدالله حشر عايد البرغش,النايب عبدالله حشر عايد البرغش النايب عبدالله حشر عايد البرغش المصور : ارشيف,,,,,
132,عبدالله حشر عايد البرغش,واوضح بيان مجلس الوزراء الصادر عقب الاجتماع,,,,,
133,عبدالله حشر عايد البرغش,انه بناء علا عرض نايب رييس مجلس الوزراء وزير الداخليه وزير الاوقاف والشوون الاسلاميه بالوكاله رييس اللجنه العليا للجنسيه الشيخ محمد الخالد,,,,,
134,عبدالله حشر عايد البرغش,استعرض المجلس توصيه اللجنه العليا لتحقيق الجنسيه ووافق علا مشروع مرسوم بسحب الجنسيه الكويتيه من احمد جبر كاظم عافت الشمري,,,,,
135,عبدالله حشر عايد البرغش,وذلك وفقا لاحكام الماده 13 من قانون الجنسيه الكويتيه رقم 15 لسنه 1959,,,,,
136,عبدالله حشر عايد البرغش,"وخلال الاجتماع عرضت وزيره الشوون الاجتماعيه والعمل وزيره الدوله لشوون التخطيط والتنميه هند الصبيح ما اتخذته ""الشوون"" من اجراءات لمواجهه اي مظاهر للخروج عن الاهداف التي رسمها القانون لجمعيات النفع العام والنظام الاساسي والاغراض التي رخصت من اجلها",,,,,
137,عبدالله حشر عايد البرغش,وما ترتب علا مخالفه بعض الجمعيات للقانون من اغلاق العديد من المقرات والفروع,,,,,
138,عبدالله حشر عايد البرغش,وكان رييس الوزراء سمو الشيخ جابر المبارك تراس امس اجتماع الحكومه التي اعتمدت سحب تراخيص ست لجان خيريه لمخالفتها قانون العمل الخيري,,,,,
139,عبدالله حشر عايد البرغش,ثلاث منها تتبع جمعيه الاصلاح الاجتماعي التي يقودها الاخوان المسلمون بالكويت,,,,,
140,عبدالله حشر عايد البرغش,وثلاث اخرا تابعه لجمعيه احياء التراث الاسلامي التي يديرها السلف,,,,,
